state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code
32,Kerala,"KERALA                                            ",32,554,Alappuzha,ആലപ്പുഴ,598
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,121,"Ambedkar Nagar","AMBEDKAR NAGAR                                    ",178
3,Punjab,"PUNJAB                                            ",03,27,Amritsar,"AMRITSAR                                          ",049
24,Gujarat,"GUJARAT                                           ",24,672,Arvalli,,000
10,Bihar,"BIHAR                                             ",10,611,Arwal,अरवल,240
10,Bihar,"BIHAR                                             ",10,189,Aurangabad,औरंगाबाद,235
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,125,Bahraich,"BAHRAICH                                          ",180
22,Chhattisgarh,छत्तीसगढ़,22,646,Balod,बालोद,000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,127,Balrampur,"BALRAMPUR                                         ",182
22,Chhattisgarh,छत्तीसगढ़,22,649,Balrampur-Ramanujganj,बलरामपुर-रामानुजगंज,000
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,623,Bandipora,"BANDIPORA                                         ",009
27,Maharashtra,महाराष्ट्र,27,470,Beed,बीड,523
22,Chhattisgarh,छत्तीसगढ़,22,650,Bemetara,बेमेतरा,000
29,Karnataka,ಕರ್ನಾಟಕ,29,525,"Bengaluru Urban",ಬೆಂಗಳೂರು,572
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,179,Bhadohi,BHADOHI,198
27,Maharashtra,महाराष्ट्र,27,471,Bhandara,भंडारा,506
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,395,Bhind,भिण्ड,420
22,Chhattisgarh,छत्तीसगढ़,22,636,Bijapur,बीजापुर,417
24,Gujarat,"GUJARAT                                           ",24,676,Botad,BOTAD,000
5,Uttarakhand,UTTARAKHAND,05,47,Chamoli,"CHAMOLI                                           ",057
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,135,Chandauli,"CHANDAULI                                         ",196
14,Manipur,"MANIPUR                                           ",14,253,Chandel,"CHANDEL                                           ",280
27,Maharashtra,महाराष्ट्र,27,473,Chandrapur,चंद्रपूर,509
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,398,Chhatarpur,छ्तरपुर,425
24,Gujarat,"GUJARAT                                           ",24,668,Chhotaudepur,CHHOTAUDEPUR,000
24,Gujarat,"GUJARAT                                           ",24,445,Dahod,DAHOD,485
19,"West Bengal","WEST BENGAL                                       ",19,310,"Dakshin Dinajpur","DAKSHIN DINAJPUR",331
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,400,Damoh,दमोह,428
24,Gujarat,"GUJARAT                                           ",24,444,Dangs,DANGS,489
19,"West Bengal","WEST BENGAL                                       ",19,309,Darjeeling,"DARJEELING                                        ",327
29,Karnataka,ಕರ್ನಾಟಕ,29,535,Davangere,ದಾವಣಗೆರೆ,567
16,Tripura,ত্রিপুরা,16,269,Dhalai,ধলাই,291
21,Odisha,ODISHA,21,352,Dhenkanal,"DHENKANAL                                         ",383
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,404,Dindori,डिंडोरी,453
8,Rajasthan,"RAJASTHAN                                         ",08,769,Dudu,दूदू,NA
17,Meghalaya,"MEGHALAYA                                         ",17,657,"East Jaintia Hills","EAST JAINTIA HILLS",000
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,748,Eluru,Eluru,000
33,"Tamil Nadu","TAMIL NADU                                        ",33,573,Erode,"ERODE                                             ",610
3,Punjab,"PUNJAB                                            ",03,651,Fazilka,,000
3,Punjab,"PUNJAB                                            ",03,31,Ferozepur,FEROZEPUR,043
24,Gujarat,"GUJARAT                                           ",24,446,Gandhinagar,"GANDHINAGAR                                       ",473
20,Jharkhand,झारखंड,20,328,Garhwa,गढ़वा,346
22,Chhattisgarh,छत्तीसगढ़,22,645,Gariyaband,गरियाबंद,000
10,Bihar,"BIHAR                                             ",10,196,Gaya,गया,236
16,Tripura,ত্রিপুরা,16,654,Gomati,গোমতি,000
20,Jharkhand,झारखंड,20,331,Gumla,गुमला,366
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,17,Hamirpur,"HAMIRPUR                                          ",028
36,Telangana,తెలంగాణ,00,686,Hanumakonda,హనుమకొండ,000
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,408,Harda,हरदा,448
5,Uttarakhand,UTTARAKHAND,05,50,Haridwar,"HARIDWAR                                          ",068
29,Karnataka,ಕರ್ನಾಟಕ,29,539,Hassan,ಹಾಸನ,574
21,Odisha,ODISHA,21,355,Jagatsinghapur,"JAGATSINGHAPUR                                    ",380
8,Rajasthan,"RAJASTHAN                                         ",08,102,Jaipur,"JAIPUR                                            ",110
8,Rajasthan,"RAJASTHAN                                         ",08,104,Jalore,"JALORE                                            ",116
19,"West Bengal","WEST BENGAL                                       ",19,314,Jalpaiguri,"JALPAIGURI                                        ",328
36,Telangana,తెలంగాణ,00,687,"Jayashankar Bhupalapally","జయశంకర్ భూపాలపల్లి",000
8,Rajasthan,"RAJASTHAN                                         ",08,105,Jhalawar,"JHALAWAR                                          ",129
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,153,Jhansi,"JHANSI                                            ",166
21,Odisha,ODISHA,21,357,Jharsuguda,"JHARSUGUDA                                        ",371
22,Chhattisgarh,छत्तीसगढ़,22,382,Kabeerdham,कबीरधाम,407
19,"West Bengal","WEST BENGAL                                       ",19,702,Kalimpong,KALIMPONG,000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,156,"Kanpur Dehat","KANPUR DEHAT                                      ",163
8,Rajasthan,"RAJASTHAN                                         ",08,108,Karauli,"KARAULI                                           ",107
36,Telangana,తెలంగాణ,00,508,Karimnagar,కరీంనగర్,534
10,Bihar,"BIHAR                                             ",10,201,Katihar,कटिहार,212
21,Odisha,ODISHA,21,360,Kendrapara,"KENDRAPARA                                        ",379
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,414,"Khargone (West Nimar)","खरगोन (पश्चिम निमाड़)",440
24,Gujarat,"GUJARAT                                           ",24,450,Kheda,"KHEDA                                             ",483
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,159,Kheri,KHERI,153
16,Tripura,ত্রিপুরা,16,652,Khowai,খোয়াই,000
20,Jharkhand,झारखंड,20,606,Khunti,खूंटी,365
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,620,Kishtwar,,018
15,Mizoram,"MIZORAM                                           ",15,263,Kolasib,"KOLASIB                                           ",282
19,"West Bengal","WEST BENGAL                                       ",19,315,Kolkata,"KOLKATA                                           ",342
32,Kerala,"KERALA                                            ",32,559,Kollam,കൊല്ലം,600
8,Rajasthan,"RAJASTHAN                                         ",08,109,Kota,"KOTA                                              ",127
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,160,Kushinagar,KUSHINAGAR,189
31,Lakshadweep,"LAKSHADWEEP                                       ",31,553,"Lakshadweep District","LAKSHADWEEP DISTRICT                              ",587
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,161,Lalitpur,"LALITPUR                                          ",167
20,Jharkhand,झारखंड,20,335,Latehar,लातेहार,359
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,234,Lohit,"LOHIT                                             ",259
13,Nagaland,"NAGALAND                                          ",13,615,Longleng,,268
10,Bihar,"BIHAR                                             ",10,206,Madhubani,मधुबनी,207
33,"Tamil Nadu","TAMIL NADU                                        ",33,578,Madurai,"MADURAI                                           ",623
6,Haryana,"HARYANA                                           ",06,69,Mahendragarh,"MAHENDRAGARH                                      ",084
24,Gujarat,"GUJARAT                                           ",24,669,Mahisagar,"મહિસાગર ",000
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,784,Maihar,मैहर,NA
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,166,Mainpuri,"MAINPURI                                          ",148
18,Assam,"ASSAM                                             ",18,706,Majuli,,000
32,Kerala,"KERALA                                            ",32,562,Malappuram,മലപ്പുറം,592
19,"West Bengal","WEST BENGAL                                       ",19,316,Malda,MALDA,332
21,Odisha,ODISHA,21,364,Malkangiri,"MALKANGIRI                                        ",399
36,Telangana,తెలంగాణ,00,684,Mancherial,మంచిర్యాల్,000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,168,Mau,"MAU                                               ",192
13,Nagaland,"NAGALAND                                          ",13,247,Mon,"MON                                               ",261
36,Telangana,తెలంగాణ,00,720,Mulugu,ములుగు,000
10,Bihar,"BIHAR                                             ",10,207,Munger,मुंगेर,226
29,Karnataka,ಕರ್ನಾಟಕ,29,545,Mysuru,ಮೈಸೂರು,577
33,"Tamil Nadu","TAMIL NADU                                        ",33,579,Nagapattinam,"NAGAPATTINAM                                      ",618
27,Maharashtra,महाराष्ट्र,27,484,Nagpur,नागपूर,505
5,Uttarakhand,UTTARAKHAND,05,51,Nainital,"NAINITAL                                          ",066
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,409,Narmadapuram,नर्मदापुरम,449
27,Maharashtra,महाराष्ट्र,27,487,Nashik,नाशिक,516
24,Gujarat,"GUJARAT                                           ",24,453,Navsari,"NAVSARI                                           ",490
14,Manipur,"MANIPUR                                           ",14,714,Noney,NONEY,000
7,Delhi,"DELHI                                             ",07,81,"North East","NORTH EAST                                        ",092
16,Tripura,ত্রিপুরা,16,270,"North Tripura","উত্তর ত্রিপুরা",292
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,749,Ntr,NTR,000
32,Kerala,"KERALA                                            ",32,563,Palakkad,പാലക്കാട്,593
20,Jharkhand,झारखंड,20,338,Palamu,पलामू,358
27,Maharashtra,महाराष्ट्र,27,665,Palghar,"पालघर ",000
6,Haryana,"HARYANA                                           ",06,70,Panchkula,"PANCHKULA                                         ",069
6,Haryana,"HARYANA                                           ",06,71,Panipat,"PANIPAT                                           ",075
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,743,"Parvathipuram Manyam","Parvathipuram Manyam",000
3,Punjab,"PUNJAB                                            ",03,662,Pathankot,PATHANKOT,000
5,Uttarakhand,UTTARAKHAND,05,53,Pithoragarh,"PITHORAGARH                                       ",062
10,Bihar,"BIHAR                                             ",10,213,"Purbi Champaran","पूर्वी चंपारण",204
21,Odisha,ODISHA,21,369,Puri,"PURI                                              ",387
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,421,Raisen,रायसेन,446
36,Telangana,తెలంగాణ,00,518,"Ranga Reddy","రంగా రెడ్డి",537
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,627,Reasi,"REASI                                             ",020
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,425,Sagar,सागर,427
10,Bihar,"BIHAR                                             ",10,217,Samastipur,समस्तीपुर,221
3,Punjab,"PUNJAB                                            ",03,43,Sangrur,"SANGRUR                                           ",053
3,Punjab,"PUNJAB                                            ",03,608,"S.A.S Nagar","                                                  ",052
3,Punjab,"PUNJAB                                            ",03,40,"Shahid Bhagat Singh Nagar","Shahid Bhagat Singh Nagar",039
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,182,Siddharthnagar,SIDDHARTHNAGAR,184
8,Rajasthan,"RAJASTHAN                                         ",08,114,Sikar,"SIKAR                                             ",111
27,Maharashtra,महाराष्ट्र,27,495,Sindhudurg,सिंधुदुर्ग,529
8,Rajasthan,"RAJASTHAN                                         ",08,115,Sirohi,"SIROHI                                            ",117
6,Haryana,"HARYANA                                           ",06,74,Sirsa,"SIRSA                                             ",079
33,"Tamil Nadu","TAMIL NADU                                        ",33,585,Sivaganga,"SIVAGANGA                                         ",622
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,184,Sonbhadra,"SONBHADRA                                         ",200
21,Odisha,ODISHA,21,372,Sonepur,"SONEPUR                                           ",392
19,"West Bengal","WEST BENGAL                                       ",19,304,"South 24 Parganas","SOUTH 24 Parganas",343
30,Goa,"GOA                                               ",30,552,"South Goa","SOUTH GOA                                         ",586
36,Telangana,తెలంగాణ,00,696,Suryapet,సూర్యాపేట,000
14,Manipur,"MANIPUR                                           ",14,716,Tengnoupal,TENGNOUPAL,000
33,"Tamil Nadu","TAMIL NADU                                        ",33,588,Theni,"THENI                                             ",624
33,"Tamil Nadu","TAMIL NADU                                        ",33,590,Thiruvarur,"THIRUVARUR                                        ",619
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,434,Tikamgarh,टीकमगढ़,424
16,Tripura,ত্রিপুরা,16,655,Unakoti,ঊনকোটি,000
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,241,"Upper Subansiri","UPPER SUBANSIRI                                   ",249
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,187,Varanasi,"VARANASI                                          ",197
33,"Tamil Nadu","TAMIL NADU                                        ",33,597,Virudhunagar,"VIRUDHUNAGAR                                      ",625
27,Maharashtra,महाराष्ट्र,27,498,Wardha,वर्धा,504
17,Meghalaya,"MEGHALAYA                                         ",17,279,"West Khasi Hills","WEST KHASI HILLS                                  ",296
16,Tripura,ত্রিপুরা,16,272,"West Tripura","পশ্চিম ত্রিপুরা",289
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,504,Y.S.R.,,551
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,667,Agar-Malwa,आगर-मालवा,000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,118,Agra,"AGRA                                              ",146
8,Rajasthan,"RAJASTHAN                                         ",08,86,Ajmer,"AJMER                                             ",119
19,"West Bengal","WEST BENGAL                                       ",19,664,Alipurduar,,000
5,Uttarakhand,UTTARAKHAND,05,45,Almora,"ALMORA                                            ",064
6,Haryana,"HARYANA                                           ",06,58,Ambala,"AMBALA                                            ",070
27,Maharashtra,महाराष्ट्र,27,468,Amravati,अमरावती,503
24,Gujarat,"GUJARAT                                           ",24,439,Amreli,"AMRELI                                            ",480
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,1,Anantnag,"ANANTNAG                                          ",014
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,753,Annamayya,Annamayya,000
18,Assam,"ASSAM                                             ",18,616,Baksa,,324
21,Odisha,ODISHA,21,346,Baleshwar,"BALESHWAR                                         ",377
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,126,Ballia,"BALLIA                                            ",193
22,Chhattisgarh,छत्तीसगढ़,22,644,Balodabazar-Bhatapara,बलौदाबाजार-भाटापारा,000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,128,Banda,"BANDA                                             ",170
10,Bihar,"BIHAR                                             ",10,190,Banka,बांका,225
19,"West Bengal","WEST BENGAL                                       ",19,305,Bankura,"BANKURA                                           ",339
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,3,Baramulla,"BARAMULLA                                         ",008
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,130,Bareilly,"BAREILLY                                          ",150
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,393,Barwani,बड़वानी,441
3,Punjab,"PUNJAB                                            ",03,28,Bathinda,"BATHINDA                                          ",046
10,Bihar,"BIHAR                                             ",10,191,Begusarai,बेगूसराय,222
29,Karnataka,ಕರ್ನಾಟಕ,29,527,Belagavi,ಬೆಳಗಾವಿ,555
10,Bihar,"BIHAR                                             ",10,192,Bhagalpur,भागलपुर,224
22,Chhattisgarh,छत्तीसगढ़,22,375,Bilaspur,बिलासपुर,406
14,Manipur,"MANIPUR                                           ",14,252,Bishnupur,"BISHNUPUR                                         ",275
18,Assam,"ASSAM                                             ",18,705,Biswanath,,000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,133,Budaun,"BUDAUN                                            ",149
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,134,Bulandshahr,"BULANDSHAHR                                       ",142
8,Rajasthan,"RAJASTHAN                                         ",08,94,Bundi,"BUNDI                                             ",121
18,Assam,"ASSAM                                             ",18,282,Cachar,"CACHAR                                            ",316
29,Karnataka,ಕರ್ನಾಟಕ,29,531,Chamarajanagara,ಚಾಮರಾಜನಗರ,578
5,Uttarakhand,UTTARAKHAND,05,48,Champawat,"CHAMPAWAT                                         ",065
18,Assam,"ASSAM                                             ",18,708,Charaideo,,000
33,"Tamil Nadu","TAMIL NADU                                        ",33,568,Chennai,"CHENNAI                                           ",603
18,Assam,"ASSAM                                             ",18,612,Chirang,"                                                  ",320
33,"Tamil Nadu","TAMIL NADU                                        ",33,569,Coimbatore,"COIMBATORE                                        ",632
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,401,Datia,दतिया,422
20,Jharkhand,झारखंड,20,325,Dhanbad,धनबाद,354
33,"Tamil Nadu","TAMIL NADU                                        ",33,571,Dharmapuri,"DHARMAPURI                                        ",630
29,Karnataka,ಕರ್ನಾಟಕ,29,536,Dharwad,ಧಾರವಾಡ,562
8,Rajasthan,"RAJASTHAN                                         ",08,98,Dholpur,"DHOLPUR                                           ",106
18,Assam,"ASSAM                                             ",18,286,Dibrugarh,"DIBRUGARH                                         ",310
22,Chhattisgarh,छत्तीसगढ़,22,378,Durg,दुर्ग,409
17,Meghalaya,"MEGHALAYA                                         ",17,273,"East Garo Hills","EAST GARO HILLS                                   ",294
3,Punjab,"PUNJAB                                            ",03,29,Faridkot,"FARIDKOT                                          ",045
3,Punjab,"PUNJAB                                            ",03,30,"Fatehgarh Sahib","FATEHGARH SAHIB                                   ",040
21,Odisha,ODISHA,21,354,Ganjam,"GANJAM                                            ",388
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,144,"Gautam Buddha Nagar","GAUTAM BUDDHA NAGAR                               ",141
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,146,Ghazipur,"GHAZIPUR                                          ",195
20,Jharkhand,झारखंड,20,330,Godda,गोड्डा,351
6,Haryana,"HARYANA                                           ",06,62,Gurugram,GURUGRAM,086
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,661,Hapur,HAPUR,000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,163,Hathras,HATHRAS,144
29,Karnataka,ಕರ್ನಾಟಕ,29,540,Haveri,ಹಾವೇರಿ,564
6,Haryana,"HARYANA                                           ",06,63,Hisar,"HISAR                                             ",080
15,Mizoram,"MIZORAM                                           ",15,726,Hnahthial,,000
36,Telangana,తెలంగాణ,00,507,Hyderabad,హైదరాబాద్,536
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,151,Jalaun,"JALAUN                                            ",165
27,Maharashtra,महाराष्ट्र,27,479,Jalna,जालना,514
24,Gujarat,"GUJARAT                                           ",24,447,Jamnagar,"JAMNAGAR                                          ",477
22,Chhattisgarh,छत्तीसगढ़,22,380,Jashpur,जशपुर,402
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,412,Jhabua,झाबुआ,464
6,Haryana,"HARYANA                                           ",06,65,Jind,"JIND                                              ",077
14,Manipur,"MANIPUR                                           ",14,713,Jiribam,,000
8,Rajasthan,"RAJASTHAN                                         ",08,107,Jodhpur,"JODHPUR                                           ",113
8,Rajasthan,"RAJASTHAN                                         ",08,778,"Jodhpur (Gramin)","जोधपुर (ग्रामीण)",NA
18,Assam,"ASSAM                                             ",18,290,Jorhat,"JORHAT                                            ",312
24,Gujarat,"GUJARAT                                           ",24,449,Kachchh,"KACHCHH                                           ",468
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,746,Kakinada,Kakinada,000
21,Odisha,ODISHA,21,358,Kalahandi,"KALAHANDI                                         ",395
33,"Tamil Nadu","TAMIL NADU                                        ",33,729,Kallakurichi,கள்ளக்குறிச்சி,000
36,Telangana,తెలంగాణ,00,685,Kamareddy,కామారెడ్డి,000
18,Assam,"ASSAM                                             ",18,618,"Kamrup Metro","KAMRUP MOHANAGAR                                  ",322
32,Kerala,"KERALA                                            ",32,557,Kannur,കണ്ണൂര്‍,589
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,157,"Kanpur Nagar","KANPUR NAGAR                                      ",164
3,Punjab,"PUNJAB                                            ",03,35,Kapurthala,"KAPURTHALA                                        ",036
37,Ladakh,Ladakh,00,6,Kargil,"KARGIL                                            ",004
33,"Tamil Nadu","TAMIL NADU                                        ",33,576,Karur,"KARUR                                             ",613
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,7,Kathua,"KATHUA                                            ",007
8,Rajasthan,"RAJASTHAN                                         ",08,770,Khairthal-Tijara,खैरथल-तिजारा,NA
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,405,"Khandwa (East Nimar)","खण्डवा (पूर्व निमाड़)",466
29,Karnataka,ಕರ್ನಾಟಕ,29,542,Kolar,ಕೋಲಾರ,581
36,Telangana,తెలంగాణ,00,699,"Kumuram Bheem Asifabad","కుమురం భీమ్ ఆసిఫాబాద్",000
15,Mizoram,"MIZORAM                                           ",15,264,Lawngtlai,"LAWNGTLAI                                         ",287
20,Jharkhand,झारखंड,20,336,Lohardaga,लोहरदगा,356
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,235,"Lower Dibang Valley","LOWER DIBANG VALLEY                               ",258
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,719,"Lower Siang","LOWER SIANG",000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,165,Mahoba,"MAHOBA                                            ",169
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,415,Mandla,मंडला,454
33,"Tamil Nadu","TAMIL NADU                                        ",33,735,Mayiladuthurai,,000
36,Telangana,తెలంగాణ,00,513,Medak,మెదక్,535
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,170,Mirzapur,मिर्ज़ापुर,199
13,Nagaland,"NAGALAND                                          ",13,246,Mokokchung,"MOKOKCHUNG                                        ",262
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,171,Moradabad,"MORADABAD                                         ",135
24,Gujarat,"GUJARAT                                           ",24,673,Morbi,MORBI,000
27,Maharashtra,महाराष्ट्र,27,482,Mumbai,मुंबई,519
27,Maharashtra,महाराष्ट्र,27,483,"Mumbai Suburban","मुंबई उपनगर",518
36,Telangana,తెలంగాణ,00,694,Nagarkurnool,"నాగర్ కర్నూల్",000
10,Bihar,"BIHAR                                             ",10,209,Nalanda,नालंदा,229
36,Telangana,తెలంగాణ,00,514,Nalgonda,నల్గొండ,539
10,Bihar,"BIHAR                                             ",10,210,Nawada,नवादा,237
7,Delhi,"DELHI                                             ",07,80,North,"NORTH                                             ",091
7,Delhi,"DELHI                                             ",07,82,"North West","NORTH WEST                                        ",090
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,237,"Papum Pare","PAPUM PARE                                        ",248
32,Kerala,"KERALA                                            ",32,564,Pathanamthitta,പത്തനംതിട്ട,599
24,Gujarat,"GUJARAT                                           ",24,456,Porbandar,"PORBANDAR                                         ",478
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,120,Prayagraj,PRAYAGRAJ,175
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,175,"Rae Bareli","RAE BARELI                                        ",158
29,Karnataka,ಕರ್ನಾಟಕ,29,546,Raichur,ರಾಯಚೂರು,559
36,Telangana,తెలంగాణ,00,683,"Rajanna Sircilla","రాజన్న సిరిసిల్ల",000
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,621,Ramban,"RAMBAN                                            ",017
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,423,Ratlam,रतलाम,434
6,Haryana,"HARYANA                                           ",06,72,Rewari,"REWARI                                            ",085
17,Meghalaya,"MEGHALAYA                                         ",17,276,"Ri Bhoi","RI BHOI                                           ",297
