state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code
6,Haryana,"HARYANA                                           ",06,73,Rohtak,"ROHTAK                                            ",082
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,624,Samba,"SAMBA                                             ",022
21,Odisha,ODISHA,21,371,Sambalpur,"SAMBALPUR                                         ",372
27,Maharashtra,महाराष्ट्र,27,493,Sangli,सांगली,531
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,427,Sehore,सीहोर,445
14,Manipur,"MANIPUR                                           ",14,257,Senapati,"SENAPATI                                          ",272
8,Rajasthan,"RAJASTHAN                                         ",08,780,Shahpura,शाहपुरा,NA
10,Bihar,"BIHAR                                             ",10,219,Sheikhpura,शेखपुरा,228
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,679,Siang,,000
36,Telangana,తెలంగాణ,00,692,Siddipet,సిద్దిపేట,000
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,24,Sirmaur,"SIRMAUR                                           ",032
18,Assam,"ASSAM                                             ",18,300,Sivasagar,"SIVASAGAR                                         ",311
18,Assam,"ASSAM                                             ",18,301,Sonitpur,"SONITPUR                                          ",306
16,Tripura,ত্রিপুরা,16,271,"South Tripura","দক্ষিন ত্রিপুরা",290
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,185,Sultanpur,"SULTANPUR                                         ",179
21,Odisha,ODISHA,21,373,Sundargarh,"SUNDARGARH                                        ",374
24,Gujarat,"GUJARAT                                           ",24,459,Surat,"SURAT                                             ",492
24,Gujarat,"GUJARAT                                           ",24,460,Surendranagar,"SURENDRANAGAR                                     ",475
33,"Tamil Nadu","TAMIL NADU                                        ",33,594,Thoothukkudi,Thoothukkudi,627
32,Kerala,"KERALA                                            ",32,566,Thrissur,തൃശ്ശൂര്‍,594
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,752,Tirupati,Tirupati,000
13,Nagaland,"NAGALAND                                          ",13,249,Tuensang,"TUENSANG                                          ",267
5,Uttarakhand,UTTARAKHAND,05,56,"Udam Singh Nagar","UDAM SINGH NAGAR                                  ",067
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,14,Udhampur,"UDHAMPUR                                          ",019
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,435,Ujjain,उज्जैन,435
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,186,Unnao,"UNNAO                                             ",156
19,"West Bengal","WEST BENGAL                                       ",19,311,"Uttar Dinajpur","UTTAR DINAJPUR",330
33,"Tamil Nadu","TAMIL NADU                                        ",33,595,Vellore,"VELLORE                                           ",605
36,Telangana,తెలంగాణ,00,693,Wanaparthy,వనపర్తి,000
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,523,"West Godavari","పశ్చిమగోదావరి                                     ",546
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,242,"West Kameng","WEST KAMENG                                       ",246
6,Haryana,"HARYANA                                           ",06,76,Yamunanagar,"YAMUNANAGAR                                       ",071
27,Maharashtra,महाराष्ट्र,27,500,Yavatmal,यवतमाळ,510
27,Maharashtra,महाराष्ट्र,27,466,Ahmednagar,अहमदनगर,522
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,745,"Alluri Sitharama Raju","Alluri Sitharama Raju",000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,154,Amroha,AMROHA,137
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,744,Anakapalli,Anakapalli,000
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,628,Anjaw,"                                                  ",260
8,Rajasthan,"RAJASTHAN                                         ",08,776,Anupgarh,अनूपगढ़,NA
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,122,Auraiya,"AURAIYA                                           ",162
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,140,Ayodhya,AYODHYA,177
18,Assam,"ASSAM                                             ",18,739,Bajali,,000
21,Odisha,ODISHA,21,345,Balangir,"BALANGIR                                          ",393
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,129,"Bara Banki","BARA BANKI",176
36,Telangana,తెలంగాణ,00,690,"Bhadradri Kothagudem","భద్రాద్రి కొత్తగూడెం",000
8,Rajasthan,"RAJASTHAN                                         ",08,91,Bharatpur,"BHARATPUR                                         ",105
10,Bihar,"BIHAR                                             ",10,193,Bhojpur,भोजपुर,231
8,Rajasthan,"RAJASTHAN                                         ",08,93,Bikaner,"BIKANER                                           ",101
19,"West Bengal","WEST BENGAL                                       ",19,307,Birbhum,"BIRBHUM                                           ",334
6,Haryana,"HARYANA                                           ",06,701,"Charki Dadri","CHARKI DADRI",000
29,Karnataka,ಕರ್ನಾಟಕ,29,630,Chikkaballapura,ಚಿಕ್ಕಬಳ್ಳಾಪುರ,582
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,503,Chittoor,"CHITTOOR                                          ",554
22,Chhattisgarh,छत्तीसगढ़,22,376,"Dakshin Bastar Dantewada","दक्षिण बस्तर दंतेवाड़ा",416
18,Assam,"ASSAM                                             ",18,283,Darrang,"DARRANG                                           ",325
5,Uttarakhand,UTTARAKHAND,05,49,Dehradun,"DEHRADUN                                          ",060
21,Odisha,ODISHA,21,351,Deogarh,"DEOGARH                                           ",373
18,Assam,"ASSAM                                             ",18,284,Dhemaji,"DHEMAJI                                           ",308
18,Assam,"ASSAM                                             ",18,285,Dhubri,"DHUBURI                                           ",301
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,230,"Dibang Valley","DIBANG VALLEY                                     ",257
8,Rajasthan,"RAJASTHAN                                         ",08,768,Didwana-Kuchaman,डीडवाना-कुचामन,NA
13,Nagaland,"NAGALAND                                          ",13,244,Dimapur,"DIMAPUR                                           ",265
33,"Tamil Nadu","TAMIL NADU                                        ",33,572,Dindigul,"DINDIGUL                                          ",612
38,"The Dadra And Nagar Haveli And Daman And Diu","THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",NA,464,Diu,DIU,494
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,4,Doda,"DODA                                              ",016
8,Rajasthan,"RAJASTHAN                                         ",08,99,Dungarpur,"DUNGARPUR                                         ",124
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,232,"East Siang","EAST SIANG                                        ",251
32,Kerala,"KERALA                                            ",32,555,Ernakulam,എറണാകുളം,595
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,138,Etah,"ETAH                                              ",201
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,141,Farrukhabad,"FARRUKHABAD                                       ",159
6,Haryana,"HARYANA                                           ",06,61,Fatehabad,"FATEHABAD                                         ",078
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,142,Fatehpur,"FATEHPUR                                          ",172
29,Karnataka,ಕರ್ನಾಟಕ,29,537,Gadag,ಗದಗ,561
8,Rajasthan,"RAJASTHAN                                         ",08,771,Gangapurcity,गंगापुरसिटी,NA
11,Sikkim,"SIKKIM                                            ",11,225,Gangtok,Gangtok,244
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,145,Ghaziabad,"GHAZIABAD                                         ",140
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,147,Gonda,"GONDA                                             ",183
10,Bihar,"BIHAR                                             ",10,197,Gopalganj,गोपालगंज,217
3,Punjab,"PUNJAB                                            ",03,32,Gurdaspur,"GURDASPUR                                         ",035
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,407,Gwalior,ग्वालियर,421
18,Assam,"ASSAM                                             ",18,289,Hailakandi,"HAILAKANDI                                        ",318
8,Rajasthan,"RAJASTHAN                                         ",08,101,Hanumangarh,"HANUMANGARH                                       ",100
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,150,Hardoi,"HARDOI                                            ",155
20,Jharkhand,झारखंड,20,332,Hazaribagh,हज़ारीबाग,360
27,Maharashtra,महाराष्ट्र,27,477,Hingoli,हिंगोली,512
36,Telangana,తెలంగాణ,00,681,Jagitial,జగిత్యాల,000
21,Odisha,ODISHA,21,356,Jajapur,"JAJAPUR                                           ",382
20,Jharkhand,झारखंड,20,333,Jamtara,जामताड़ा,363
10,Bihar,"BIHAR                                             ",10,198,Jamui,जमुई,238
22,Chhattisgarh,छत्तीसगढ़,22,379,Janjgir-Champa,"जांजगीर - चाम्पा",405
10,Bihar,"BIHAR                                             ",10,199,Jehanabad,जहानाबाद,239
19,"West Bengal","WEST BENGAL                                       ",19,703,Jhargram,Jhargram,000
10,Bihar,"BIHAR                                             ",10,200,"Kaimur (Bhabua)","कैमूर ( भभुआ )",233
33,"Tamil Nadu","TAMIL NADU                                        ",33,574,Kancheepuram,"KANCHIPURAM                                       ",604
21,Odisha,ODISHA,21,359,Kandhamal,"KANDHAMAL                                         ",390
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,18,Kangra,"KANGRA                                            ",024
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,155,Kannauj,"KANNAUJ                                           ",160
6,Haryana,"HARYANA                                           ",06,67,Karnal,"KARNAL                                            ",074
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,633,Kasganj,Kasganj,202
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,413,Katni,कटनी,450
10,Bihar,"BIHAR                                             ",10,202,Khagaria,खगड़िया,223
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,19,Kinnaur,"KINNAUR                                           ",034
13,Nagaland,"NAGALAND                                          ",13,614,Kiphire,,269
10,Bihar,"BIHAR                                             ",10,203,Kishanganj,किशनगंज,210
20,Jharkhand,झारखंड,20,334,Koderma,कोडरमा,348
29,Karnataka,ಕರ್ನಾಟಕ,29,543,Koppal,ಕೊಪ್ಪಳ,560
8,Rajasthan,"RAJASTHAN                                         ",08,782,Kotputli-Behror,कोटपूतली-बहरोड,NA
32,Kerala,"KERALA                                            ",32,560,Kottayam,കോട്ടയം,597
32,Kerala,"KERALA                                            ",32,561,Kozhikode,കോഴിക്കോട്,591
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,510,Krishna,"KRISHNA                                           ",547
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,622,Kulgam,"KULGAM                                            ",015
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,8,Kupwara,"KUPWARA                                           ",001
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,511,Kurnool,"KURNOOL                                           ",552
10,Bihar,"BIHAR                                             ",10,204,Lakhisarai,लखीसराय,227
27,Maharashtra,महाराष्ट्र,27,481,Latur,लातूर,524
15,Mizoram,"MIZORAM                                           ",15,265,Lunglei,"LUNGLEI                                           ",286
36,Telangana,తెలంగాణ,00,688,Mahabubabad,మహబుబాబాద్,000
24,Gujarat,"GUJARAT                                           ",24,451,Mahesana,"MAHESANA                                          ",471
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,164,Mahrajganj,MAHRAJGANJ,187
15,Mizoram,"MIZORAM                                           ",15,266,Mamit,"MAMIT                                             ",281
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,22,Mandi,"MANDI                                             ",027
22,Chhattisgarh,छत्तीसगढ़,22,760,"Manendragarh-Chirmiri-Bharatpur(M C B)",मनेन्द्रगढ़-चिरमिरी-भरतपुर(ऍम.सी.बी.),000
21,Odisha,ODISHA,21,365,Mayurbhanj,"MAYURBHANJ                                        ",376
36,Telangana,తెలంగాణ,00,700,"Medchal Malkajgiri","మేడ్చల్ మల్కాజిగిరి",000
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,417,Morena,मुरैना,419
19,"West Bengal","WEST BENGAL                                       ",19,319,Murshidabad,"MURSHIDABAD                                       ",333
21,Odisha,ODISHA,21,366,Nabarangpur,"NABARANGPUR                                       ",397
19,"West Bengal","WEST BENGAL                                       ",19,320,Nadia,"NADIA                                             ",336
27,Maharashtra,महाराष्ट्र,27,485,Nanded,नांदेड,511
27,Maharashtra,महाराष्ट्र,27,486,Nandurbar,नंदूरबार,497
36,Telangana,తెలంగాణ,00,721,Narayanpet,"నారాయణ్ పేట్",000
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,418,Narsimhapur,नरसिंहपुर,452
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,419,Neemuch,नीमच,432
35,"Andaman And Nicobar Islands","ANDAMAN AND NICOBAR ISLANDS                       ",35,603,Nicobars,"NICOBARS                                          ",638
36,Telangana,తెలంగాణ,00,680,Nirmal,నిర్మల్,000
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,722,Niwari,निवारी,000
36,Telangana,తెలంగాణ,00,516,Nizamabad,నిజామాబాదు,533
13,Nagaland,"NAGALAND                                          ",13,736,Noklak,Noklak,000
30,Goa,"GOA                                               ",30,551,"North Goa","NORTH GOA                                         ",585
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,723,"Pakke Kessang","PAKKE KESSANG",000
20,Jharkhand,झारखंड,20,337,Pakur,पाकुर,353
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,785,Pandhurna,पांढुर्णा,NA
27,Maharashtra,महाराष्ट्र,27,489,Parbhani,परभणी,513
19,"West Bengal","WEST BENGAL                                       ",19,704,"Paschim Bardhaman","PASCHIM BARDHAMAN",000
19,"West Bengal","WEST BENGAL                                       ",19,318,"Paschim Medinipur","PASCHIM MEDINIPUR",344
3,Punjab,"PUNJAB                                            ",03,41,Patiala,"PATIALA                                           ",048
10,Bihar,"BIHAR                                             ",10,212,Patna,पटना,230
36,Telangana,తెలంగాణ,00,682,Peddapalli,పెద్దపల్లి,000
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,10,Poonch,"POONCH                                            ",005
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,174,Pratapgarh,"PRATAPGARH                                        ",173
34,Puducherry,PUDUCHERRY,34,600,Puducherry,புதுச்சேரி,635
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,11,Pulwama,"PULWAMA                                           ",012
27,Maharashtra,महाराष्ट्र,27,490,Pune,पुणे,521
27,Maharashtra,महाराष्ट्र,27,491,Raigad,रायगड,520
22,Chhattisgarh,छत्तीसगढ़,22,386,Raigarh,रायगढ़,403
22,Chhattisgarh,छत्तीसगढ़,22,387,Raipur,रायपुर,410
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,422,Rajgarh,राजगढ़,442
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,12,Rajouri,RAJOURI,006
5,Uttarakhand,UTTARAKHAND,05,54,"Rudra Prayag","RUDRA PRAYAG                                      ",058
24,Gujarat,"GUJARAT                                           ",24,458,"Sabar Kantha","SABAR KANTHA                                      ",472
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,177,Saharanpur,"SAHARANPUR                                        ",132
15,Mizoram,"MIZORAM                                           ",15,727,Saitual,SAITUAL,000
33,"Tamil Nadu","TAMIL NADU                                        ",33,584,Salem,"SALEM                                             ",608
8,Rajasthan,"RAJASTHAN                                         ",08,777,Salumbar,सलूम्‍बर,NA
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,659,Sambhal,SAMBHAL,000
36,Telangana,తెలంగాణ,00,691,Sangareddy,సంగారెడ్డి,000
10,Bihar,"BIHAR                                             ",10,218,Saran,सारण,219
22,Chhattisgarh,छत्तीसगढ़,22,763,Sarangarh-Bilaigarh,सारंगढ़-बिलाईगढ़,000
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,426,Satna,सतना,429
7,Delhi,"DELHI                                             ",07,671,Shahdara,SHAHDARA,000
13,Nagaland,"NAGALAND                                          ",13,765,Shamator,Shamator,000
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,660,Shamli,SHAMLI,000
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,23,Shimla,"SHIMLA                                            ",033
29,Karnataka,ಕರ್ನಾಟಕ,29,547,Shivamogga,ಶಿವಮೊಗ್ಗ,568
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,725,"Shi Yomi","SHI YOMI",000
15,Mizoram,"MIZORAM                                           ",15,267,Siaha,Siaha,288
10,Bihar,"BIHAR                                             ",10,221,Sitamarhi,सीतामढी,206
6,Haryana,"HARYANA                                           ",06,75,Sonipat,"SONIPAT                                           ",076
35,"Andaman And Nicobar Islands","ANDAMAN AND NICOBAR ISLANDS                       ",35,602,"South Andamans","SOUTH ANDAMANS                                    ",640
17,Meghalaya,"MEGHALAYA                                         ",17,277,"South Garo Hills","SOUTH GARO HILLS                                  ",295
17,Meghalaya,"MEGHALAYA                                         ",17,658,"South West Khasi Hills","SOUTH WEST KHASI HILLS",000
3,Punjab,"PUNJAB                                            ",03,39,"Sri Muktsar Sahib","ਸ੍ਰੀ ਮੁਕਤਸਰ ਸਾਹਿਬ",044
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,13,Srinagar,"SRINAGAR                                          ",010
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,515,"Sri Potti Sriramulu Nellore","శ్రీ పొట్టి శ్రీరాములు నెల్లూరు",550
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,754,"Sri Sathya Sai","Sri Sathya Sai",000
24,Gujarat,"GUJARAT                                           ",24,641,Tapi,"                                                  ",493
33,"Tamil Nadu","TAMIL NADU                                        ",33,589,Thiruvallur,"THIRUVALLUR                                       ",602
14,Manipur,"MANIPUR                                           ",14,259,Thoubal,"THOUBAL                                           ",276
33,"Tamil Nadu","TAMIL NADU                                        ",33,592,Tirunelveli,"TIRUNELVELI                                       ",628
13,Nagaland,"NAGALAND                                          ",13,757,Tseminyu,Tseminyu,000
29,Karnataka,ಕರ್ನಾಟಕ,29,548,Tumakuru,ತುಮಕೂರು,571
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,436,Umaria,उमरिया,431
24,Gujarat,"GUJARAT                                           ",24,461,Vadodara,"VADODARA                                          ",486
10,Bihar,"BIHAR                                             ",10,224,Vaishali,वैशाली,220
24,Gujarat,"GUJARAT                                           ",24,462,Valsad,"VALSAD                                            ",491
33,"Tamil Nadu","TAMIL NADU                                        ",33,596,Viluppuram,"VILLUPURAM                                        ",607
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,520,Visakhapatnam,విశాఖపట్నం,544
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,521,Vizianagaram,"VIZIANAGARAM                                      ",543
7,Delhi,"DELHI                                             ",07,85,West,"WEST                                              ",096
24,Gujarat,"GUJARAT                                           ",24,440,Anand,"ANAND                                             ",482
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,502,Ananthapuramu,అనంతపురము,553
21,Odisha,ODISHA,21,344,Anugul,"ANUGUL                                            ",384
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,390,Anuppur,अनूपपुर,461
10,Bihar,"BIHAR                                             ",10,188,Araria,अररिया,209
33,"Tamil Nadu","TAMIL NADU                                        ",33,610,Ariyalur,அரியலூர்,616
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,391,Ashoknagar,अशोकनगर,459
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,124,Baghpat,"BAGHPAT                                           ",139
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,392,Balaghat,बालाघाट,457
8,Rajasthan,"RAJASTHAN                                         ",08,775,Balotra,बालोतरा,NA
24,Gujarat,"GUJARAT                                           ",24,441,"Banas Kantha","BANAS KANTHA                                      ",469
8,Rajasthan,"RAJASTHAN                                         ",08,88,Banswara,"BANSWARA                                          ",125
8,Rajasthan,"RAJASTHAN                                         ",08,89,Baran,BARAN,128
21,Odisha,ODISHA,21,347,Bargarh,"BARGARH                                           ",370
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,131,Basti,"BASTI                                             ",185
8,Rajasthan,"RAJASTHAN                                         ",08,774,Beawar,ब्‍यावर,NA
29,Karnataka,ಕರ್ನಾಟಕ,29,526,"Bengaluru Rural","ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ",583
24,Gujarat,"GUJARAT                                           ",24,442,Bharuch,"BHARUCH                                           ",488
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,396,Bhopal,भोपाल,444
21,Odisha,ODISHA,21,349,Boudh,"BOUDH                                             ",391
27,Maharashtra,महाराष्ट्र,27,472,Buldhana,बुलढाणा,500
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,397,Burhanpur,बुरहानपुर,467
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,229,Changlang,"CHANGLANG                                         ",253
20,Jharkhand,झारखंड,20,323,Chatra,चतरा,347
29,Karnataka,ಕರ್ನಾಟಕ,29,532,Chikkamagaluru,ಚಿಕ್ಕಮಗಳೂರು,570
29,Karnataka,ಕರ್ನಾಟಕ,29,533,Chitradurga,ಚಿತ್ರದುರ್ಗ,566
8,Rajasthan,"RAJASTHAN                                         ",08,95,Chittorgarh,"CHITTORGARH                                       ",126
13,Nagaland,"NAGALAND                                          ",13,758,Chumoukedima,Chumoukedima,000
8,Rajasthan,"RAJASTHAN                                         ",08,96,Churu,"CHURU                                             ",102
19,"West Bengal","WEST BENGAL                                       ",19,308,"Cooch Behar","COOCH BEHAR",329
38,"The Dadra And Nagar Haveli And Daman And Diu","THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",NA,465,"Dadra And Nagar Haveli","DADRA AND NAGAR HAVELI",496
20,Jharkhand,झारखंड,20,324,Deoghar,देवघर,350
24,Gujarat,"GUJARAT                                           ",24,674,"Devbhumi Dwarka","DEVBHUMI DWARKA",000
22,Chhattisgarh,छत्तीसगढ़,22,377,Dhamtari,धमतरी,412
18,Assam,"ASSAM                                             ",18,299,"Dima Hasao","DIMA HASAO",315
20,Jharkhand,झारखंड,20,326,Dumka,दुमका,362
7,Delhi,"DELHI                                             ",07,78,East,"EAST                                              ",093
17,Meghalaya,"MEGHALAYA                                         ",17,740,"Eastern West Khasi Hills",,000
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,505,"East Godavari","EAST GODAVARI                                     ",545
17,Meghalaya,"MEGHALAYA                                         ",17,274,"East Khasi Hills","EAST KHASI HILLS                                  ",298
20,Jharkhand,झारखंड,20,327,"East Singhbum","पूर्वी सिंघभूम",357
27,Maharashtra,महाराष्ट्र,27,475,Gadchiroli,गडचिरोली,508
21,Odisha,ODISHA,21,353,Gajapati,"GAJAPATI                                          ",389
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,626,Ganderbal,"GANDERBAL                                         ",011
22,Chhattisgarh,छत्तीसगढ़,22,734,Gaurela-Pendra-Marwahi,गौरेला-पेंड्रा-मरवाही,000
20,Jharkhand,झारखंड,20,329,Giridih,गिरिडीह,349
24,Gujarat,"GUJARAT                                           ",24,675,"Gir Somnath","GIR SOMNATH",000
18,Assam,"ASSAM                                             ",18,287,Goalpara,"GOALPARA                                          ",302
27,Maharashtra,महाराष्ट्र,27,476,Gondia,गोंदीया,507
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,506,Guntur,"GUNTUR                                            ",548
18,Assam,"ASSAM                                             ",18,709,Hojai,,000
19,"West Bengal","WEST BENGAL                                       ",19,312,Hooghly,"HOOGHLY                                           ",338
3,Punjab,"PUNJAB                                            ",03,33,Hoshiarpur,"HOSHIARPUR                                        ",038
19,"West Bengal","WEST BENGAL                                       ",19,313,Howrah,"HOWRAH                                            ",341
14,Manipur,"MANIPUR                                           ",14,256,"Imphal West","IMPHAL WEST                                       ",277
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,411,Jabalpur,जबलपुर,451
3,Punjab,"PUNJAB                                            ",03,34,Jalandhar,"JALANDHAR                                         ",037
27,Maharashtra,महाराष्ट्र,27,478,Jalgaon,जळगाव,499
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,5,Jammu,"JAMMU                                             ",021
8,Rajasthan,"RAJASTHAN                                         ",08,106,Jhunjhunu,"JHUNJHUNU                                         ",103
36,Telangana,తెలంగాణ,00,695,"Jogulamba Gadwal","జోగులాంబ గద్వాల",000
14,Manipur,"MANIPUR                                           ",14,711,Kakching,,000
